CEO,Sector,Subsector,Resuma en una frase su producto o servicio
Juan Pablo Velasquez,Proptech,Tecnología,Pupa digitaliza la gestión inmobiliaria en Latinoamérica a través de herramientas de automatización operativa y productos financieros para administradores e inmobiliarias
Juan Sebastian Garzón,MarTech,"Comunicaciones y marketing,Recursos Humanos",Apoyar a las empresas en una adquisición eficiente de clientes / usuarios B2C y la fidelización de su base de clientes actuales a través de canales eficientes de comunicación y marketing a través de WhatsApp.
Maria Paula Weinreich,MarTech,Comunicaciones y marketing,"Somos una agencia de marketing y emprendimiento que acompaña emprendedores y negocios desde el diseño, el marketing y mentorias de emprendimiento"
Daniel Acosta,LegalTech,"Servicios de consultoria,Comunicaciones y marketing","Consultoría en asuntos legales, contables y fiscales, para startups e inversionistas en Latam, desde USA y COL y a través de metodologías de innovación."
Daniel Rodriguez Paredes,CleanTech,Energías alternativas,Plataforma de reciclaje colaborativo que conecta la cadena para darle segunda vida a los residuos aprovechables transformándolos en una moneda verde.
Stefano Lignarolo,Proptech,Construcción,Inversiones en Bienes Raíces Fraccionadas desde pequeños montos- 
Joaquin Serrano,SaaS,Tecnología,Solución para que las PYMES de Latinoamérica puedan crear su Ecommerce de manera rápida y fácil. Además de herramientas de marketing para crecer su negocio. Todo desde su celular
CAMILO PUENTES,HRTech,"Recursos Humanos,Tecnología,Servicios de consultoria","SAKYAHR ES UN SOFTWARE COMO SERVICIO QUE INTEGRA TODOS LOS PROCESOS DE RECURSOS HUMANOS Y NOMINA EN UN SOLO SISTEMA. 
NUESTRA PRINCIPAL VENTAJA ES INTEGRAR Y CUMPLIR CON LA REGULACIÓN DE NOMINA DE CADA PAIS EN AMERICAS Y MUNDO GRACIAS A QUE NOS APALANCAMOS EN SOFTWARE DE CODIGO ABIERTO. "
Andrés Londoño,SaaS,"Tecnología,Servicios de consultoria","¿Tienes una idea? nosotros tenemos la tecnología para llevarla a la realidad, desde el diseño de experiencia de usuario al desarrollo de APP y back office"
Natalia Cano ,HealthTech,Salud,"Respondemos preguntas de pediatría por WhatsApp 24/7 vendemos directo a los padres, a corporaciones y a instituciones educativas "
Oskar Sarquis,SaaS,"Tecnología,BPO - RPA,Servicios de consultoria",Somos la única compañía latinoamericana que ofrece un sistema en la nube integrado end to end para que compradores automaticen sus procesos de la cadena de suministro desde el presupuesto hasta el pago.
Nicolás Contreras,Fintech,Tecnología,La plataforma de crowdfunding que está re-inventando las donaciones en América Latina.
Andres Pérez ,Proptech,Tecnología,Ecosistema de hipotecas en colombia y Mexico 
José Andrés Clavijo Morales,Proptech,Servicios de consultoria,"En Linnda estamos construyendo el primer motor de growth de LATAM, donde los negocios digitales con 3 clicks de integración, conozcan mejor el ciclo de vida de sus clientes y las oportunidades para mejorarlo: adquieran con buen retorno, logren prevenir la fuga y retener, y moneticen mejor. "
Daniel Torres,ClimaTech,Tecnología,Plataforma para que las empresas de manufactura operen de manera eficiente y tomen decisiones informadas basadas en datos con un enfoque en sostneibilidad
Fabián Cardozo. No soy el CEO porque no estoy en Colombia pero soy co-fundador. ,EdTech,Educación,Educación gratuita en emprendimiento de alta calidad para las personas que más lo necesitan con el fin de enseñarles a emprender sin endeudarse y sin recibir inversión. 
PABLO ESTRADA,RetailTech,Industria,MOLT: Tejemos sueños en prendas personalizadas para marcar el estilo empresarial.
Andrés Londoño,SaaS,Tecnología,"Hacemos desarrollo de software a la medida. Incluye diseño web y  UX/UI, APP móvil o web"
MANUEL OLIVA,FoodTech,Alimentos y/o bebidas,"VENDEMOS ALIMENTOS NO VENDIDOS DE PRODUCTORES, DISTRIBUIDORES Y SUPERMERCADOS. SIEMPRE AL 60% DE DESCUENTO"
Octavio Torres,CleanTech,Tecnología,"Transformación digital de la información ambiental para mitigar el cambio climático
"
Juan Sebastián Viviezcas,HRTech,Educación,REDUCIMOS LA BRECHA ENTRE EL TALENTO Y EL EMPLEO
Maria Jose Rubio ,ClimaTech,Educación,"Conectamos a traves del juego, recirculando, diseñando y produciendo materiales innovadores"
Oscar,Proptech,Tecnología,Servicio que por medio de tecnología permite administrar y gestionar contratos de arrendamiento para que inmobiliarias puedan dedicarse a crecer su negocio
Natalia Cano,HealthTech,Salud,"Respondemos preguntas de pediatría 24/7 por Whatsapp y vendemos a tres sectores:
Para padres de familia complementando al pediatra físico
Para instituciones educativas donde fortalecemos su personal en tierra
Para compañías que ofrecen el beneficio a sus empleados o clientes"
María Angélica Duque Rojas,LogicTech,Tecnología,Software para la administración de la información logística internacional
Camilo Soler,HealthTech,"Salud,Tecnología",Empresa de soluciones en la nube especializada en el sector salud.
Camilo Naranjo Kairuz,HealthTech,Tecnología,"Saludtools es un software de gestión de pacientes, enfocado en ofrecer a clínicas y pacientes la mejor herramienta para mejorar los resultados clínicos de sus pacientes y reducir costos"
Jorge LEon,SaaS,Comunicaciones y marketing,Networking profesional. 
David Umaña,Tecnología,"E-commerce

",One-stop-matketplace para el sector HORECA con informes competitivos únicos en el mercado
Lina González,Recursos Humanos,Bienestar,Programas de Bienestar Corporativos
Nicolas Plazas,"Industria,Construcción,Servicios de consultoria",Industria ,"Fit Consulting SAS, sin excusas, somos su aliado estratégico, insumos o servicios industriales, lo difícil de conseguir o difícil de tramitar es nuestro negocio."
Carlos Cantor,"Tecnología,Servicios de consultoria","Inmobiliario 
",
